Date,Temperature,Rainfall,Humidity
2013-06-16,20,41.7,69
2013-06-17,22,11.4,63
2013-06-18,20,23.3,77
2013-06-19,21,100.1,76
2013-06-20,21,3.4,84
2013-06-21,21,5.6,81
2013-06-22,22,26.6,73
2013-06-23,22,27.8,71
2013-06-24,22,35.5,75
2013-06-25,22,28.5,79
2013-06-26,22,12.6,82
2013-06-27,22,27.5,77
2013-06-28,21,20.1,81
2013-06-29,21,36.7,86
2013-06-30,21,8.2,82
2013-07-01,21,7.5,78
2013-07-02,22,14.1,82
2013-07-03,21,14.2,82
2013-07-04,21,25.1,83
2013-07-05,21,40.5,89
2013-07-06,20,31.4,86
2013-07-07,21,15.5,81
2013-07-08,21,23.4,84
2013-07-09,20,19.9,84
2013-07-10,22,29.8,82
2013-07-11,22,15.0,80
2013-07-12,21,6.7,83
2013-07-13,21,19.6,81
2013-07-14,22,20.1,82
2013-07-15,22,22.2,81
2013-07-16,23,14.6,78
2013-07-17,21,24.0,81
2013-07-18,22,27.6,79
2013-07-19,21,14.2,83
2013-07-20,22,10.6,75
2013-07-21,22,19.2,77
2013-07-22,22,59.8,76
2013-07-23,22,8.1,72
2013-07-24,21,34.7,76
2013-07-25,21,13.7,72
2013-07-26,21,16.2,79
2013-07-27,21,26.6,85
2013-07-28,20,13.0,90
2013-07-29,22,6.4,86
2013-07-30,22,31.4,88
2013-07-31,22,22.5,85
2013-08-01,21,12.2,86
2013-08-02,21,12.2,78
2013-08-03,21,6.9,79
2013-08-04,22,14.7,80
2013-08-05,21,39.4,79
2013-08-06,20,19.7,81
2013-08-07,21,9.8,80
2013-08-08,21,6.9,84
2013-08-09,21,31.5,86
2013-08-10,20,24.2,86
2013-08-11,21,15.0,85
2013-08-12,21,10.4,87
2013-08-13,21,15.6,84
2013-08-14,22,11.8,78
2013-08-15,21,15.4,77
2013-08-16,21,15.4,84
2013-08-17,21,12.1,84
2013-08-18,20,7.4,81
2013-08-19,21,2.9,76
2013-08-20,21,8.5,79
2013-08-21,21,24.7,82
2013-08-22,21,14.3,77
2013-08-23,21,8.7,77
2013-08-24,21,10.0,75
2013-08-25,21,7.6,74
2013-08-26,21,13.4,77
2013-08-27,20,23.1,85
2013-08-28,21,18.1,81
2013-08-29,20,10.3,87
2013-08-30,20,2.6,85
2013-08-31,21,14.7,83
2013-09-01,21,13.5,84
2013-09-02,21,26.4,84
2013-09-03,20,15.8,85
2013-09-04,20,7.1,82
2013-09-05,20,2.3,78
2013-09-06,20,1.8,73
2013-09-07,19,7.7,80
2013-09-08,19,2.5,77
2013-09-09,19,4.5,80
2013-09-10,19,3.9,81
2013-09-11,19,3.0,77
2013-09-12,19,6.6,81
2013-09-13,21,1.4,65
2013-09-14,21,9.0,60
2013-09-15,20,3.3,61
2013-09-16,20,4.6,58
2013-09-17,21,3.0,53
2013-09-18,21,7.7,56
2013-09-19,20,7.5,72
2013-09-20,21,12.7,69
2013-09-21,20,5.8,80
2013-09-22,20,1.8,82
2013-09-23,21,3.4,82
2013-09-24,21,9.6,77
2013-09-25,20,13.6,75
2013-09-26,20,5.5,81
2013-09-27,20,20.2,89
2013-09-28,20,12.8,75
2013-09-29,19,18.6,79
2013-09-30,18,15.8,84
2013-10-01,18,2.5,79
2013-10-02,18,2.6,76
2013-10-03,18,4.9,80
2013-10-04,17,12.4,87
2013-10-05,18,19.6,91
2013-10-06,17,10.2,88
2013-10-07,18,5.1,85
2013-10-08,19,2.8,82
2013-10-09,20,0.0,85
2013-10-10,20,1.1,82
2013-10-11,20,3.3,68
2013-10-12,19,0.9,70
2013-10-13,17,9.7,84
2013-10-14,16,105.5,89
2013-10-15,17,52.8,89
2013-10-16,17,1.0,84
2013-10-17,18,1.2,78
2013-10-18,17,4.1,76
2013-10-19,16,4.3,78
2013-10-20,17,2.6,70
2013-10-21,16,0.3,63
2013-10-22,15,0.1,76
2013-10-23,15,0.0,80
2013-10-24,16,0.0,75
2013-10-25,16,0.3,71
2013-10-26,15,2.0,79
2013-10-27,14,2.0,80
2013-10-28,14,2.2,65
2013-10-29,14,0.3,74
2013-10-30,14,0.0,76
2013-10-31,13,1.0,73
2013-11-01,13,0.9,71
2013-11-02,13,2.7,70
2013-11-03,13,0.0,68
2013-11-04,12,0.0,70
2013-11-05,13,0.0,72
2013-11-06,14,0.0,57
2013-11-07,15,0.0,36
2013-11-08,14,0.0,26
2013-11-09,14,0.0,25
2013-11-10,14,0.3,20
2013-11-11,14,0.0,30
2013-11-12,13,0.0,32
2013-11-13,14,0.0,36
2013-11-14,13,0.2,42
2013-11-15,13,0.2,43
2013-11-16,14,0.0,43
2013-11-17,15,0.0,42
2013-11-18,13,0.0,57
2013-11-19,13,0.0,70
2013-11-20,13,0.0,74
2013-11-21,12,0.0,73
2013-11-22,11,0.0,73
2013-11-23,12,0.0,80
2013-11-24,13,0.0,88
2013-11-25,13,0.0,85
2013-11-26,12,0.0,82
2013-11-27,13,0.0,82
2013-11-28,14,0.0,74
2013-11-29,14,0.0,69
2013-11-30,13,0.0,74
2013-12-01,12,0.0,81
2013-12-02,12,0.0,79
2013-12-03,14,0.0,47
2013-12-04,13,0.0,35
2013-12-05,13,0.0,50
2013-12-06,12,0.0,65
2013-12-07,12,0.0,62
2013-12-08,12,0.0,62
2013-12-09,12,0.0,43
2013-12-10,11,0.0,46
2013-12-11,10,0.0,61
2013-12-12,9,0.4,68
2013-12-13,8,0.8,78
2013-12-14,9,0.0,60
2013-12-15,10,0.0,57
2013-12-16,10,0.0,70
2013-12-17,7,0.0,78
2013-12-18,7,0.0,85
2013-12-19,7,2.9,81
2013-12-20,7,0.5,69
2013-12-21,7,0.0,71
2013-12-22,9,0.0,41
2013-12-23,10,0.0,37
2013-12-24,11,0.0,52
2013-12-25,11,0.0,51
2013-12-26,10,0.0,41
2013-12-27,10,0.0,32
2013-12-28,11,0.0,27
2013-12-29,10,0.0,39
2013-12-30,9,0.0,44
2013-12-31,9,0.5,27
2014-01-01,11,0.0,38
2014-01-02,10,0.0,51
2014-01-03,9,0.0,70
2014-01-04,9,0.0,53
2014-01-05,10,0.0,21
2014-01-06,9,0.0,20
2014-01-07,7,0.0,45
2014-01-08,7,0.0,54
2014-01-09,8,0.0,35
2014-01-10,10,0.0,20
2014-01-11,8,2.1,44
2014-01-12,8,0.0,59
2014-01-13,9,0.0,67
2014-01-14,11,0.0,62
2014-01-15,10,0.0,40
2014-01-16,10,0.0,43
2014-01-17,10,0.0,35
2014-01-18,9,12.9,44
2014-01-19,9,0.1,43
2014-01-20,9,0.0,57
2014-01-21,10,0.0,62
