iter	Passed	Remaining
0	50941	5043159
1	133013	6517672
2	196840	6364504
3	269689	6472544
4	337016	6403306
5	375558	5883742
6	413787	5497467
7	433902	4989875
8	476323	4816157
9	498291	4484621
10	544391	4404620
11	591716	4339251
12	608416	4071711
13	649664	3990795
76228	1565297
15	304048	1596253
16	327743	1600158
17	333927	1521226
18	351768	1499646
19	362613	1450452
20	373160	1403792
21	382394	1355762
22	395989	1325704
23	410179	1298902
24	417475	1252427
25	430197	1224407
26	453705	1226685
27	464375	1194107
28	472417	1156608
29	480497	1121161
30	490410	1091557
31	506298	1075883
32	521432	1058666
33	534736	1038017
34	543804	1009922
35	554962	986600
36	577544	983386
37	587366	958334
38	600158	938709
39	614548	921822
40	626042	900890
41	636124	878458
42	644906	854876
43	653687	831965
44	661074	807980
45	670592	787217
46	678494	765110
47	688264	745619
48	697972	726461
49	702892	702892
50	708973	681170
51	714798	659813
52	720069	638552
53	725816	618287
54	732092	598984
55	738955	580607
56	743287	560725
57	748453	541983
58	752881	523188
59	757884	505256
60	761961	487155
61	765631	469258
62	770542	452540
63	776040	436523
64	781175	420633
65	786050	404935
66	789668	388941
67	794431	373849
68	798064	358550
69	801902	343672
70	805547	329026
71	808909	314575
72	812176	300393
73	815675	286588
74	819240	273080
75	822936	259874
76	826409	246849
77	830686	234296
78	834278	221770
79	837879	209469
80	844116	198002
81	851247	186859
82	856491	175426
83	863171	164413
84	868105	153195
85	872658	142060
86	876991	131044
87	880610	120083
88	885050	109388
89	889146	98794
90	893298	88348
91	897330	78028
92	900709	67795
51
95	893637	37234
96	898295	27782
97	902151	18411
98	906773	9159
99	912155	0
6779	42890
97	1392782	28424
98	1403555	14177
99	1409705	0
