,Date,Price,price_diff
1,2013-06-17,4968.5,-106.0
2,2013-06-18,4925.5,-43.0
3,2013-06-19,5003.5,78.0
4,2013-06-20,5013.0,9.5
5,2013-06-21,4993.0,-20.0
6,2013-06-25,5012.0,19.0
7,2013-06-26,4939.5,-72.5
8,2013-06-27,4823.0,-116.5
9,2013-06-28,4825.0,2.0
10,2013-06-30,4592.5,-232.5
11,2013-07-01,4747.5,155.0
12,2013-07-02,5085.5,338.0
13,2013-07-03,4858.5,-227.0
14,2013-07-04,4823.0,-35.5
15,2013-07-05,4870.0,47.0
16,2013-07-09,4964.5,94.5
17,2013-07-10,5119.0,154.5
18,2013-07-11,5038.5,-80.5
19,2013-07-12,5122.5,84.0
20,2013-07-14,5071.5,-51.0
21,2013-07-15,4925.0,-146.5
22,2013-07-16,5370.5,445.5
23,2013-07-17,5147.0,-223.5
24,2013-07-18,5074.0,-73.0
25,2013-07-19,4881.0,-193.0
26,2013-07-21,4944.0,63.0
27,2013-07-22,5017.0,73.0
28,2013-07-23,4589.5,-427.5
29,2013-07-24,4608.5,19.0
30,2013-07-25,4719.5,111.0
31,2013-07-26,4606.0,-113.5
32,2013-07-28,4742.0,136.0
33,2013-07-29,4651.5,-90.5
34,2013-07-30,4430.5,-221.0
35,2013-07-31,4442.5,12.0
36,2013-08-01,4450.5,8.0
37,2013-08-02,4607.0,156.5
38,2013-08-04,4536.0,-71.0
39,2013-08-05,4490.5,-45.5
40,2013-08-06,4620.0,129.5
41,2013-08-07,4717.5,97.5
42,2013-08-08,4704.5,-13.0
43,2013-08-12,2436.5,-2268.0
44,2013-08-13,4893.0,2456.5
45,2013-08-14,5073.0,180.0
46,2013-08-15,5175.5,102.5
47,2013-08-16,5357.5,182.0
48,2013-08-18,5398.0,40.5
49,2013-08-19,5052.0,-346.0
50,2013-08-20,5225.0,173.0
51,2013-08-23,5523.5,298.5
52,2013-08-25,5334.0,-189.5
53,2013-08-26,5417.5,83.5
54,2013-08-27,5264.5,-153.0
55,2013-08-29,5122.5,-142.0
56,2013-08-30,5315.5,193.0
57,2013-09-01,5168.5,-147.0
58,2013-09-02,5226.0,57.5
59,2013-09-03,5202.5,-23.5
60,2013-09-04,5400.5,198.0
61,2013-09-05,5382.5,-18.0
62,2013-09-06,5500.0,117.5
63,2013-09-08,5405.0,-95.0
64,2013-09-09,5475.5,70.5
65,2013-09-10,5409.0,-66.5
66,2013-09-11,5380.0,-29.0
67,2013-09-12,5407.0,27.0
68,2013-09-13,5116.5,-290.5
69,2013-09-15,5297.5,181.0
70,2013-09-16,5301.0,3.5
71,2013-09-17,5351.0,50.0
72,2013-09-19,5285.5,-65.5
73,2013-09-20,5198.5,-87.0
74,2013-09-22,5299.5,101.0
75,2013-09-23,5279.5,-20.0
76,2013-09-24,5380.0,100.5
77,2013-09-25,5043.0,-337.0
78,2013-09-26,5321.0,278.0
79,2013-09-27,5558.0,237.0
80,2013-09-29,5591.5,33.5
81,2013-09-30,5463.5,-128.0
82,2013-10-01,5622.0,158.5
83,2013-10-02,5662.5,40.5
84,2013-10-03,5512.0,-150.5
85,2013-10-04,5664.5,152.5
86,2013-10-06,5897.0,232.5
87,2013-10-07,5642.0,-255.0
88,2013-10-08,5356.5,-285.5
89,2013-10-09,5677.0,320.5
90,2013-10-10,5602.0,-75.0
91,2013-10-11,5813.0,211.0
92,2013-10-12,5545.0,-268.0
93,2013-10-13,3394.0,-2151.0
94,2013-10-14,3360.0,-34.0
95,2013-10-15,3245.0,-115.0
96,2013-10-16,6107.0,2862.0
97,2013-10-17,5421.5,-685.5
98,2013-10-20,5772.5,351.0
99,2013-10-21,5360.0,-412.5
100,2013-10-22,5444.5,84.5
101,2013-10-23,5444.0,-0.5
102,2013-10-24,5785.5,341.5
103,2013-10-25,5866.5,81.0
104,2013-10-27,5964.5,98.0
105,2013-10-28,5963.5,-1.0
106,2013-10-29,6362.5,399.0
107,2013-10-30,6222.5,-140.0
108,2013-10-31,6055.5,-167.0
109,2013-11-01,6057.0,1.5
110,2013-11-03,5926.5,-130.5
111,2013-11-04,6195.5,269.0
112,2013-11-05,4446.5,-1749.0
113,2013-11-06,4215.5,-231.0
114,2013-11-07,5422.5,1207.0
115,2013-11-10,5517.0,94.5
116,2013-11-11,4742.5,-774.5
117,2013-11-12,5360.5,618.0
118,2013-11-13,5256.0,-104.5
119,2013-11-14,5264.5,8.5
120,2013-11-15,5520.0,255.5
121,2013-11-16,5416.0,-104.0
122,2013-11-17,5242.0,-174.0
123,2013-11-18,5340.0,98.0
124,2013-11-20,5592.0,252.0
125,2013-11-21,5343.5,-248.5
126,2013-11-22,5565.5,222.0
127,2013-11-24,5133.5,-432.0
128,2013-11-25,5172.5,39.0
129,2013-11-26,5076.0,-96.5
130,2013-11-27,5085.5,9.5
131,2013-11-28,5130.0,44.5
132,2013-11-29,5384.5,254.5
133,2013-12-01,5538.0,153.5
134,2013-12-02,5347.0,-191.0
135,2013-12-03,5497.0,150.0
136,2013-12-04,5415.0,-82.0
137,2013-12-05,5373.5,-41.5
138,2013-12-06,5448.0,74.5
139,2013-12-08,5267.5,-180.5
140,2013-12-09,5332.5,65.0
141,2013-12-10,5433.5,101.0
142,2013-12-11,5111.5,-322.0
143,2013-12-12,5230.5,119.0
144,2013-12-13,5214.0,-16.5
145,2013-12-15,5351.0,137.0
146,2013-12-16,5192.5,-158.5
147,2013-12-18,5582.5,390.0
148,2013-12-19,5423.5,-159.0
149,2013-12-20,5498.0,74.5
150,2013-12-22,5283.0,-215.0
151,2013-12-23,5814.5,531.5
152,2013-12-24,5786.5,-28.0
153,2013-12-26,5447.5,-339.0
